English,Japanese
advice,アドバイス、助言
joke,ジョーク
audience,聴衆、観客
ceiling,天井
service,サービス、形のない商品
impression,印象
career,経歴、仕事
emotion,感情
favor,親切な行為、好意
illness,病気
interest,興味、利子
opinion,意見
rule,規則、ルール
spirit,精神、気分
citizen,市民、国民
recipe,調理法、レシピ
ribbon,リボン
traffic,交通量
peace,平和
memory,記憶
policy,方針
process,過程、作業
issue,雑誌などの号、発行、問題
majority,大部分、過半数
belief,信じること
aquarium,水族館、水槽
profit,利益
symbol,象徴、記号
research,調査、研究
mayor,市長
signal,信号、合図
pride,プライド、誇り
sample,例、見本
purpose,目的
employee,従業員
flight,航空便
shade,影
shadow,影、日陰
charity,慈善事業
activity,活動
ceremony,式典
data,データ
collection,コレクション、収集
future,将来、未来
anger,怒り
matter,問題、事柄、物体
luck,幸運、運
skill,技術
ghost,幽霊
success,成功
entertainment,娯楽、催し物、もてなし
entertainer,エンターテイナー、芸能人
disease,病気
connection,接続、関係
direction,方向、指示
excuse,言い訳
flavor,味
ancestor,先祖、祖先
mask,仮面、マスク
attention,注意、注目
choice,選択
edge,縁、刃
disaster,災害
adventure,冒険
expression,表現、表情
fever,熱
network,ネットワーク
sense,感覚、意味
truth,真実
effect,結果、効果、影響
argument,口論
version,版
necessity,必要性、必需品
horizon,地平線、水平線
cash,現金
conversation,会話
average,平均
distance,距離
freedom,自由
invitation,招待
knowledge,知識、認識
scene,場面、景色
theme,テーマ
space,空間、宇宙、余地
ability,能力
center,中心、センター
imagination,想像力
pressure,重圧、プレッシャー
prize,賞、順位
value,価値
harvest,収穫
generation,世代
appointment,予約、約束、任命
advantage,有利な点、利点
opportunity,機会
influence,影響
item,品物、項目
position,立場
root,道筋、ルート
pollution,汚染
soldier,兵士、軍人
penalty,刑罰、処罰
brain,脳
fair,フェア、見本市
chemical,化学薬品
match,試合
license,免許証
note,メモ、注釈
subject,主題、教科
silence,静寂、沈黙
competition,競争、競技会
expert,専門家
site,視力、光景
exhibition,展示会
portion,一部、割り当て
quality,品質
effort,努力
reaction,反応
injury,障害、負傷
shortage,不足、欠乏
dormitory,寮
object,対象、目的
branch,枝、支店
desire,願望
nationality,国籍
channel,海峡
fuel,燃料
scenery,風景
journey,旅行、通勤、通学
praise,賞賛
strength,強さ、力、長所
instruction,指示
failure,失敗
closet,クローゼット
victim,犠牲者
amount,量
demand,要求、需要
portrait,肖像画
habit,癖、習慣
method,方法
detail,詳細、細部
attitude,態度
image,イメージ、画像
organization,組織、団体
objection,反対、異議
market,市場
material,材料、ネタ
surface,表面、外見
summary,要約
voyage,船旅、航海
