English,Japanese
speak,話す
say,言う
tell,伝える、話す
talk,喋る、相談する
mention,～に言及する、～を口にする
announce,～を発表する
proclaim,～を宣言する
state,～を（公式に）述べる、状態
ask,尋ねる、頼む
question,質問、～に疑問を抱く
answer,答える、答え
reply,返事をする
respond,反応する、回答する
inquire,尋ねる、調査する
request,要請する、依頼
demand,要求する、需要
explain,説明する
describe,～を描写する、～の特徴を述べる
express,～を表現する、急行
show,～を示す、～を見せる
indicate,～を指し示す
display,～を展示する、～を表示する
illustrate,～を（例などで）説明する、挿絵を入れる
reveal,～を明らかにする、～を暴露する
discuss,～を議論する
debate,討論する、論争
argue,～と主張する、言い争う
claim,～を主張する、～を要求する
assert,～を断言する
insist,～を強く主張する
suggest,～を提案する、～を示唆する
propose,～を提案する、プロポーズする
persuade,～を説得する
convince,～を納得させる
induce,～を誘発する、～を気にさせる
influence,影響を与える、影響
inspire,～を奮い立たせる、～に感銘を与える
encourage,～を励ます、～を促進する
urge,～に強く促す、衝動
press,～を押す、～を強いる、報道機関
agree,同意する、賛成する
consent,同意する
approve,～を承認する、～に賛成する
accept,～を受け入れる
refuse,～を拒む
reject,～を拒絶する
oppose,～に反対する
object,反対する、物体、目的
advise,～に助言する
suggest,～を提案する
recommend,～を推薦する
warn,～に警告する
caution,～に注意を与える、用心
remind,～に思い出させる
consult,～に相談する、～を参照する
direct,～を指導する、～に向ける、直接の
allow,～を許可する
permit,～を許可する、許可証
let,～させる
enable,～を可能にする
forbid,～を禁止する
prohibit,～を禁止する
ban,～を（公式に）禁止する、禁止
restrict,～を制限する
praise,～を褒める、賞賛
admire,～に感嘆する、～を賞賛する
compliment,～を褒める、お世辞
criticize,～を批判する
blame,～を責める、～のせいにする
scold,～を叱る
complain,不平を言う
accuse,～を非難する、～を告訴する
apologize,謝る
excuse,～を許す、言い訳
forgive,～を許す
pardon,～を許す
regret,～を後悔する、残念
confess,～を告白する、～を認める
admit,～を認める、～の入場を許す
deny,～を否定する
inform,〜に知らせる、〜に通知する
notify,〜に（公式に）通知する
report,〜を報告する、報告
publish,〜を出版する、〜を公表する
broadcast,〜を放送する、放送
advertise,〜を宣伝する、〜を広告する
spread,〜を広める、広がる
circulate,循環する、〜を配布する
language,言語
speech,演説、話すこと
term,用語、期間、条件
phrase,句、慣用句
sentence,文、判決
vocabulary,語彙
grammar,文法
accent,アクセント、なまり
understand,理解する
comprehend,〜を（十分に）理解する
interpret,〜を解釈する、〜を通訳する
translate,〜を翻訳する
convey,〜を伝える、〜を運ぶ
imply,〜を暗に意味する、〜を示唆する
signify,〜を意味する、〜を示す
symbolize,〜を象徴する
