English,Japanese
abroad,海外で、海外へ
afraid,怖がって
clean,きれいな
behind,〜の後に
partly,部分的に
across,〜を横切って
natural,自然の、当然の
another,別の、もう1つの
free,自由な、無料の
basic,基本的な
alone,1人で
colorful,カラフルな
honest,正直な
ideal,理想的な
never,1度も〜ない、決して〜ない
noisy,騒々しい
rude,失礼な、不作法な
rough,荒い、大まかな
formal,正式の
widely,広く
nobody,誰も〜ない
certain,確信して、ある特定の
empty,空いている、空の
greatly,非常に、大いに
aboard,乗って、登場して
global,全体的な、地球全体の
shortly,すぐに
safely,安全に
private,個人的な
confident,自信のある
public,公共の
mostly,大抵、大部分は
general,一般的な、全体の
legal,法律上の、合法的な
convenient,便利な
certainly,確かに、もちろんです
whatever,〜なものなら何でも
expensive,高価な
someday,いつか
positive,前向きな、積極的な
negative,否定的な、消極的な
recently,最近
mainly,主に、大抵の場合は
directly,直接に
plain,明らかな、簡素な
rapid,急速な、速い
excellent,優れた、素晴らしい
strict,厳しい、厳格な
intelligent,知能の高い、気の利いた
correct,正しい
annually,毎年
naturally,自然に、生まれつき
careless,不注意な
individual,個人の
apparently,見たところ、明らかに
currently,現在のところ
powerful,力強い、薬などがよく効く
against,〜に反対して
nearly,ほとんど
thick,厚い
thin,薄い、細い、痩せた
specific,特定の、具体的な
fairly,公正に、かなり
whoever,〜する人は誰でも
suitable,ふさわしい
simply,ただ〜、簡単に
regularly,定期的に、規則正しく
steady,固定された、安定した
immediately,すぐに
central,中心部の
equally,同程度に、等しく
selfish,自己中心的な
typical,典型的な
close,接近した、親密な
obviously,明らかに
calm,落ち着いた
following,次の、以下の
upstairs,階上へ、2階へ
tight,きつい
lazy,怠けた
rarely,めったに〜ない
seldom,めったに〜ない
except,〜を除いて
outside,外で
harmful,有害な
beyond,〜を超えて、〜の向こうに
professional,プロの、専門の
tidy,きちんとした、身綺麗な
instead,その代わりに
properly,きちんと
overseas,海外で
delicate,敏感な、繊細な
in case,〜する場合、〜するといけないので
past,過去の
constant,絶え間ない、一定の
flat,平らな、均一な
technically,技術的に、専門的に、厳密には
alike,似ている、同様で
spare,予備の、余分の
personal,個人の、私的な
