English,Japanese
animal,動物
beast,野獣
mammal,哺乳類
creature,生き物
pet,ペット
cattle,牛（の群れ）
herd,群れ
species,種
bird,鳥
wing,翼
feather,羽、羽毛
nest,巣
insect,昆虫
ant,アリ
bee,ハチ
butterfly,チョウ
fish,魚
gill,えら
fin,ひれ
scale,うろこ、尺度
whale,クジラ
shark,サメ
shell,貝殻
coral,サンゴ
plant,植物、工場
seed,種
root,根
stem,茎、幹
leaf,葉
flower,花
bloom,開花、花
fruit,実、果物
tree,木
branch,枝、支店
trunk,幹、トランク
bark,樹皮、ほえる
forest,森
wood,木材、森
jungle,密林
bush,茂み
body,身体
head,頭
face,顔
eye,目
ear,耳
nose,鼻
mouth,口
hair,毛、髪
arm,腕
hand,手
finger,指
leg,脚
foot,足
toe,足の指
shoulder,肩
back,背中、後ろ
bone,骨
muscle,筋肉
blood,血
heart,心臓、心
lung,肺
stomach,胃
brain,脳
skin,皮膚
health,健康
illness,病気
disease,疾患
pain,痛み
fever,熱
cold,風邪、寒い
cough,せき
injury,けが
medicine,薬、医学
pill,錠剤
doctor,医者
nurse,看護師
hospital,病院
clinic,診療所
cure,治療、治す
surgery,手術、外科
breath,呼吸する、息をつく
cough,せきをする
sneeze,くしゃみをする
chew,噛む
swallow,飲み込む
digest,消化する
bleed,出血する
heal,治る
see,見える、～を見る
hear,聞こえる
smell,においがする
taste,味がする
feel,感じる
notice,～に気がつく
recognize,～を識別する
perceive,～を知覚する
live,生きる、住む
die,死ぬ
birth,誕生
grow,成長する
bloom,開花する
decay,腐る、衰退する
survive,生き残る
exist,存在する
