English,Japanese
true,本当の、真実の
false,嘘の、間違った
possible,可能な、あり得る
impossible,不可能な
probable,ありそうな、十中八九の
likely,ありそうな
maybe,たぶん
perhaps,ひょっとすると
certain,確信して、確かな
sure,確信して、確実な
definite,明確な、はっきりした
obvious,明らかな
evident,明白な
clear,はっきりした、澄んだ
doubt,疑い、～を疑う
uncertain,不確実な
important,重要な
necessary,必要な
essential,不可欠な、本質的な
main,主要な
major,主要な、大きな方の
minor,重要でない、小さい方の
rare,珍しい、希少な
common,共通の、普通の
good,良い
bad,悪い
excellent,優れた、素晴らしい
wonderful,素晴らしい
perfect,完璧な
valuable,価値のある、高価な
worth,価値がある
useless,役に立たない
easy,簡単な
difficult,難しい
hard,難しい、硬い
simple,単純な、簡単な
complex,複雑な
tough,困難な、たくましい
plain,明らかな、簡素な、平原
clear,はっきりした
general,一般的な、全般的な
special,特別な
particular,特定の、特有の
specific,特定の、具体的な
normal,標準の、普通の
unusual,異常な、珍しい
unique,独特の、唯一の
various,様々な
natural,自然な、当然の
artificial,人工的な
actual,実際の、現実の
virtual,事実上の、仮想の
formal,正式な、形式的な
informal,形式ばらない、非公式な
public,公衆の、公共の
private,個人の、私的な
