English,Japanese
decide,決心する
believe,信じる
impress,印象を与える、感動させる
save,救う、節約する、省く
criticize,批判する
deliver,配達する、伝える
agree,同意する、賛成する
complete,完成させる
beat,負かす
find,見つける、わかる
perform,演じる、実行する
offer,申し出る、提供する
spell,綴る
adjust,調整する、整える
prefer,好む
practice,練習する、実行する
receive,受け取る
select,選ぶ
translate,翻訳する
wonder,〜かなと思う
collect,集める
appear,登場する、現れる
require,必要とする
hold,持つ、開催する
follow,従う、続く
discuss,議論する
contact,接触する、連絡を取る
borrow,借りる
attack,攻撃する
control,管理する、制御する
access,アクセスする、近づく
guard,守る
cover,覆う
cost,費用がかかる
protect,保護する
injure,傷つける
lead,導く
recycle,再生利用する
succeed,成功する、継承する
avoid,避ける
touch,触れる、感動させる
escape,逃げる
accept,受け入れる
breathe,呼吸する
continue,続ける、続く
limit,制限する
remind,思い出させる
remove,移動させる、取り除く
throw,投げる
slip,滑る
waste,浪費する
search,探す
replace,取り替える
separate,分ける
supply,供給する
operate,操作する、手術をする
notice,気がつく
develop,発達させる、開発する
apply,申し込む
concentrate,集中する
destroy,破壊する
graduate,卒業する
rescue,救助する
shoot,打つ、シュートする
host,主催する
import,輸入する
recognize,認識する、認める
observe,観察する
participate,参加する
act,行動する、演じる
recover,回復する、取り戻す
quit,やめる
press,押す
draw,描く、引く
chase,追跡する
attract,魅了する、心を捉える
freeze,凍る、凍らせる
locate,配置する
melt,溶ける、溶かす
share,分け合う
treat,取り扱う、治療する
delay,遅らせる
request,record
expect,予期する、期待する
remain,残る、〜のままである
exchange,交換する
explain,説明する
express,表現する
approach,接近する
realize,実現する、気がつく
produce,生み出す、作り出す
indicate,指し示す
admire,ほめる、敬う
divide,分ける
punish,罰する
solve,解決する
hide,隠れる、隠す
ignore,無視する
pray,祈る
record,記録する、録画・録音する
shake,振る、揺れる
respect,尊重する、尊敬する
add,加える
support,支える、支持する
spread,広がる、広げる
repeat,繰り返す
push,押す
compare,比較する
admit,認める
reduce,減らす、減る
overcome,克服する、打ち勝つ
achieve,達成する
float,浮かぶ
shorten,短くする
confuse,困惑させる
explore,探検する
mention,言及する
bite,噛む
prepare,準備する
reject,拒絶する
trust,信用する、信頼する
insist,要求する、主張する
dress,服を着る、服を着せる
erase,消す
contain,含む
bother,悩ます、迷惑をかける
bend,曲げる
gain,得る、増す
dig,掘る
charm,魅了する
trade,交換する、貿易をする
obey,従う
hang,吊るす、かける
trap,わなを仕掛ける、だます
pour,注ぐ
gather,集まる、集める
concern,心配している
balance,釣り合いを取る
frighten,怖がらせる
decorate,飾る
sail,航海する
hire,借りる、雇う
ache,痛む
warn,警告する
seek,求める
pause,休止する
chat,おしゃべりをする
treasure,大切にする
spill,こぼす
knit,編む
