English,Japanese
place,場所、～を置く
position,位置、立場
location,位置、場所
site,用地、場所、サイト
spot,地点、斑点
area,地域、面積
region,地方、領域
space,空間、宇宙、スペース
direction,方向、指示
north,北
south,南
east,東
west,西
side,側、面
front,前部、正面
back,後ろ、背中
top,頂上、上部
bottom,底、最下部
center,中心
middle,真ん中、中央
edge,端、縁、刃
corner,角、隅
margin,余白、差
gap,隙間、隔たり
shape,形、～を形作る
form,形、形態、用紙
circle,円、輪
square,正方形、広場
triangle,三角形
line,線、列
point,点、要点
surface,表面
size,大きさ、サイズ
length,長さ
width,幅
height,高さ
depth,深さ
distance,距離
range,範囲
scale,規模、尺度、うろこ
condition,状態、条件
state,状態、国家、～を述べる
situation,状況、立場
perfect,完璧な
excellent,優れた
normal,標準の、普通の
stable,安定した
clear,澄んだ、はっきりした
strange,奇妙な
odd,奇妙な、奇数の
terrible,ひどい、恐ろしい
awful,ひどい、不快な
complex,複雑な、複合体
simple,単純な
rough,ざらざらした、大まかな
smooth,滑らかな
