English,Japanese
think,考える
believe,信じる
know,知っている
understand,理解する
remember,覚えている、思い出す
forget,忘れる
guess,推測する
suppose,～だと思う、仮定する
feel,感じる
like,好む
love,愛する
hate,憎む、ひどく嫌う
enjoy,楽しむ
want,欲しい、～したい
hope,望む
wish,願う
happy,幸せな、嬉しい
glad,嬉しい
pleased,喜んで
excited,興奮した、わくわくした
surprised,驚いた
amazed,驚嘆した
wonderful,素晴らしい
fantastic,素晴らしい、空想的な
sad,悲しい
lonely,孤独な、寂しい
sorry,気の毒で、残念で、申し訳なくて
afraid,怖がって
worried,心配して
nervous,不安な、緊張して、神経質な
anxious,心配して、切望して
scared,怖がって
angry,怒って
mad,怒って、頭にきて、熱狂して
annoyed,イライラして
upset,腹を立てて、うろたえて
disappointed,失望した
bored,退屈した
tired,疲れた、飽きた
sick,病気の、うんざりして
kind,親切な
nice,良い、親切な
gentle,優しい、穏やかな
friendly,友好的な
honest,正直な
brave,勇敢な
smart,賢い
wise,賢明な
cruel,残酷な
selfish,利己的な、わがままな
greedy,強欲な
lazy,怠惰な
shy,内気な
strict,厳しい
serious,真剣な、真面目な
strange,奇妙な、見知らぬ
friend,友達
partner,パートナー、相棒
neighbor,近所の人
guest,客、招待客
host,主人（役）、主催者
stranger,見知らぬ人
enemy,敵
couple,カップル、一対
meet,会う
visit,訪問する
invite,招待する
welcome,歓迎する
trust,信頼する
respect,尊敬する、尊重する
praise,褒める
admire,称賛する、感心する
say,言う
tell,話す、教える
speak,話す
talk,喋る、相談する
ask,尋ねる、頼む
answer,答える
explain,説明する
promise,約束する
decide,決める
solve,解決する
realize,悟る、実現する
wonder,～かなと思う、驚く
recognize,認める、識別する
identify,特定する
ignore,無視する
doubt,疑う
confident,自信がある
curious,好奇心が強い
calm,冷静な、穏やかな
patient,忍耐強い、患者
shame,恥、残念なこと
guilt,罪悪感
stress,ストレス、強調
comfort,快適さ、慰め
polite,礼儀正しい
rude,失礼な
modest,謙虚な
proud,誇りに思って
active,活動的な
passive,受動的な
positive,前向きな
negative,否定的な
popular,人気がある
famous,有名な
important,重要な
necessary,必要な
correct,正しい
mistake,間違い
error,誤り
fault,責任、欠点
purpose,目的
goal,目標
desire,願望、強く望む
ambition,野心
willing,～するのを厭わない
eager,熱望して
prefer,～を好む
choice,選択
suggest,提案する
recommend,推薦する
advise,助言する
request,要請する
demand,要求する
order,命令する、注文する
warn,警告する
encourage,励ます
agree,賛成する、同意する
disagree,反対する
refuse,拒否する
accept,受け入れる
allow,許可する
permit,許可する
forbid,禁止する
support,支持する、養う
introduce,紹介する
marry,結婚する
divorce,離婚する
neighbor,隣人
community,地域社会、共同体
society,社会、付き合い
human,人間
person,人
react,反応する
respond,返答する、反応する
impact,影響、衝撃
influence,影響を与える
cause,原因、～を引き起こす
effect,効果、結果
result,結果として起こる
reason,理由、理性
reputation,評判
honor,名誉
glory,栄光
shame,恥
mercy,慈悲
grace,優雅、恩寵
favor,親切な行為、賛成
duty,義務
delight,大喜び、～を喜ばせる
thrill,ワクワクさせる、震えるような喜び
fascinate,魅了する
enthusiasm,熱狂、熱意
passion,情熱
affection,愛情
joy,喜び
cheerful,陽気な、明るい
disgust,嫌悪、～をムカムカさせる
hatred,憎しみ
resent,～に腹を立てる、憤慨する
envy,うらやむ、嫉妬
jealous,嫉妬深い
miserable,惨めな
painful,痛い、つらい
bitter,苦い、ひどく不満な
terror,恐怖
horror,恐怖、嫌悪感
dread,ひどく恐れる
panic,パニック、狼狽
scare,～を怖がらせる
fright,恐怖、驚き
timid,臆病な
bold,大胆な
consider,～をよく考える、～とみなす
contemplate,熟考する
speculate,推測する、投機する
ponder,～をじっくり考える
conclude,結論を出す
infer,推論する
reason,論理的に考える、理由
logic,論理
intend,～するつもりである
determine,～を決心する、決定する
resolve,決心する、解決する
aim,目標、狙う
objective,目的、客観的な
strategy,戦略
ambition,野心
drive,意欲、～を追い込む
courtesy,礼儀正しさ
manner,行儀、やり方
etiquette,エチケット
grace,優雅さ
tact,機転
civil,丁寧な、市民の
gentle,優しい
rough,乱暴な、大まかな
generous,寛大な
stingy,けちな
stubborn,頑固な
flexible,柔軟な
optimistic,楽観的な
pessimistic,悲観的な
humble,控えめな、謙虚な
arrogant,傲慢な
persuade,～を説得する
convince,～を確信させる、納得させる
inspire,～を奮い立たせる、～にインスピレーションを与える
influence,～に影響を与える
dominate,～を支配する
control,～を管理する
guide,～を導く
lead,～を先導する
cooperate,協力する
collaborate,共同で行う、協力する
compete,競争する
oppose,～に反対する
resist,～に抵抗する
support,～を支持する
aid,援助
ally,同盟者
admire,～に感服する、～を賞賛する
respect,～を尊敬する
honor,名誉、～を敬う
glory,栄光
reputation,評判
fame,名声
praise,～を褒める
criticize,～を批判する
forgive,許す
apologize,謝る
complain,不平を言う
blame,～を責める、～のせいにする
scold,叱る
pity,哀れみ
sympathy,同情
mercy,慈悲
virtue,美徳
vice,悪徳
moral,道徳
ethics,倫理
conscience,良心
dignity,尊厳
prestige,名声
reputation,評判
