English,Japanese
society,社会
community,地域社会、共同体
public,公衆、公共の
member,会員、構成員
group,集団、グループ
class,階級、授業
status,地位、状態
role,役割
nation,国家、国民
country,国、田舎
state,国家、州、状態
government,政府、政治
capital,首都、資本、大文字
border,境界、国境
citizen,国民、市民
official,公務員、公式の
politics,政治（学）
policy,政策、方針
democracy,民主主義
election,選挙
vote,投票（する）
party,政党、パーティー
leader,指導者
council,議会、評議会
law,法律、法則
rule,規則、支配（する）
regulation,規制、規則
right,権利、正しい、右
duty,義務、関税
justice,正義、司法
court,裁判所、法廷、コート
crime,犯罪
economy,経済、節約
industry,産業、勤勉
market,市場
trade,貿易、取引
business,ビジネス、景気
company,会社、仲間
product,製品、産物
service,奉仕、サービス、点検
money,お金
cash,現金
currency,通貨、普及
price,価格、代償
cost,費用、犠牲
value,価値
wealth,富、財産
profit,利益
income,収入、所得
salary,給料
wage,賃金
tax,税金
expense,費用、経費
debt,借金、負債
budget,予算
stock,株式、在庫
work,仕事、作品、働く
job,職、仕事
labor,労働
career,経歴、職業
employ,〜を雇う
hire,〜を雇う
quit,〜を辞める
retire,退職する、引退する
peace,平和
war,戦争
conflict,紛争、衝突
battle,戦闘、戦い
army,軍隊、陸軍
weapon,武器
force,力、軍隊、〜を強いる
victory,勝利
world,世界
international,国際的な
global,地球規模の、世界的な
foreign,外国の
abroad,外国へ（に）
aid,援助
treaty,条約
alliance,同盟
media,メディア、媒体
press,報道機関、新聞
article,記事、条項
channel,チャンネル、経路
broadcast,放送（する）
program,番組、計画
interview,面接、会見
audience,聴衆、観客
culture,文化
tradition,伝統
custom,慣習、税関
heritage,遺産（文化的・自然的）
civilization,文明
value,価値観、価値
standard,標準、基準
style,様式、型
religion,宗教
belief,信念、信じること
faith,信仰、信頼
spirit,精神、魂
god,神
church,教会
temple,寺院、神殿
prayer,祈り
moral,道徳的な、教訓
ethic,倫理、道徳
virtue,美徳、長所
vice,悪徳、欠点
conscience,良心
duty,義務
responsibility,責任
dignity,尊厳
population,人口
generation,世代、発生
race,人種、競争
ethnicity,民族性
gender,性、ジェンダー
minority,少数派、少数
majority,多数派、大多数
diversity,多様性
issue,問題（点）、発行
poverty,貧困
hunger,飢え、切望
homeless,家がない
crime,犯罪
violence,暴力
discrimination,差別、識別
prejudice,偏見
liberty,自由（解放）
freedom,自由（自発）
equality,平等
justice,正義、司法
human rights,人権
privacy,プライバシー
welfare,福祉、幸福
security,安全、警備
progress,進歩、前進
reform,改革
revolution,革命、回転
movement,運動、動き
trend,傾向、流行
future,未来、将来の
prospect,見通し、期待
vision,視覚、洞察力
