English,Japanese
society,社会
community,地域社会、共同体
public,公衆の、公共の
civilization,文明
culture,文化
custom,慣習、習慣
tradition,伝統
religion,宗教
economy,経済
industry,産業、工業
market,市場
capital,資本、首都
profit,利益
cost,費用、代償
value,価値
wealth,富、財産
labor,労働
occupation,職業
employment,雇用
wage,賃金
salary,給料
career,経歴、生涯の職業
pension,年金
retirement,退職、引退
politics,政治
government,政府
democracy,民主主義
nation,国家、国民
citizen,市民
leader,指導者
election,選挙
policy,政策、方針
law,法律
rule,規則
justice,正義、司法
court,法廷、裁判所
right,権利、正解
duty,義務、関税
contract,契約
license,免許、許可
crime,犯罪
violence,暴力
victim,犠牲者、被害者
punishment,罰
prison,刑務所
poverty,貧困
conflict,紛争、衝突
crisis,危機
international,国際的な
global,地球規模の、世界的な
foreign,外国の
border,境界、国境
peace,平和
war,戦争
treaty,条約
alliance,同盟
freedom,自由
liberty,自由（解放された自由）
equality,平等
independence,独立
human rights,人権
privacy,プライバシー
identity,自己同一性、身元
status,地位、状態
business,ビジネス、事業
company,会社
corporation,企業、法人
management,経営、管理
project,計画、プロジェクト
organization,組織、団体
department,部門、部署
staff,職員、スタッフ
science,科学
technology,科学技術
theory,理論
method,方法
data,データ
experiment,実験
logic,論理
reason,理由、理性
health,健康
medicine,薬、医学
patient,患者、忍耐強い
disease,病気
symptom,症状、兆候
treatment,治療、取り扱い
surgery,手術、外科
cure,治療法、治す
mind,心、精神、嫌がる
spirit,精神、魂、気分
soul,魂、精神
psychology,心理学
emotion,感情
intelligence,知能、情報
consciousness,意識
memory,記憶
thought,考え、思考
knowledge,知識
wisdom,知恵
philosophy,哲学
opinion,意見
belief,信念、信頼
imagination,想像力
perspective,見方、観点
language,言語
communication,伝達、通信
expression,表現
conversation,会話
discussion,議論
argument,主張、議論、口論
debate,討論
dialogue,対話
education,教育
academic,学問的な、大学の
scholarship,奨学金、学識
lecture,講義
thesis,論文、命題
curriculum,教育課程、カリキュラム
research,研究、調査
institute,研究所、機関
art,芸術、技術
literature,文学
masterpiece,傑作
author,著者
audience,観客、聴衆
exhibition,展示会
performance,公演、実績、実行
creative,創造的な
religion,宗教
faith,信仰、信頼
moral,道徳的な
ethics,倫理学
virtue,美徳、美点
prayer,祈り
sacred,神聖な
miracle,奇跡
relationship,関係
partnership,提携、協力
conflict,衝突、葛藤
cooperation,協力
sympathy,同情、共感
reputation,評判、名声
influence,影響
impact,衝撃、影響
concept,概念
theory,理論
principle,原理、原則
aspect,側面、外観
feature,特徴
standard,標準、基準
factor,要因
circumstance,状況、事情
