English,Japanese
consider,～を検討する、～とみなす
examine,～を調査する、～を診察する
solve,～を解決する
decide,～を決める
realize,～を悟る、～を実現する
believe,～を信じる
imagine,～を想像する
wonder,～かなと思う、驚く
know,知っている
understand,理解する
recognize,～を認める、～を識別する
identify,～を特定する
judge,～を判断する、裁判官
estimate,～を見積もる、予測
predict,～を予測する
assume,～と仮定する、～と思い込む
cause,原因、～を引き起こす
reason,理由、理性
source,源、情報源
factor,要因
basis,基礎、根拠
origin,起源
background,背景、経歴
motive,動機
effect,効果、結果、影響
result,結果、～という結果になる
influence,影響、～に影響を与える
impact,衝撃、影響
consequence,結果、結論
outcome,結果、成果
benefit,利益、恩恵
damage,損害、～に損害を与える
purpose,目的
goal,目標
aim,目的、～を狙う
target,的、目標
means,手段、方法
method,方法
way,道、方法
tool,道具、手段
plan,計画
project,計画、事業
strategy,戦略
policy,政策、方針
action,行動
effort,努力
attempt,試み、～を試みる
task,仕事、任務
problem,問題
issue,問題（点）、発行
trouble,心配、迷惑、故障
difficulty,困難
solution,解決策、溶液
answer,答え、～に答える
success,成功
failure,失敗
change,変化、～を変える
increase,増加（する）
decrease,減少（する）
improve,～を改善する、向上する
develop,～を発展させる、開発する
progress,進歩
advance,進歩、前進
reform,改革
relation,関係
connection,接続、関連
link,つながり、～をつなぐ
contact,接触、連絡
context,文脈、状況
aspect,側面
feature,特徴
detail,詳細
compare,～を比較する
contrast,対照
difference,違い
similarity,類似（点）
match,～に一致する、試合
equal,等しい、～に等しい
same,同じ
different,異なった
degree,程度、学位、温度（度）
extent,範囲、程度
scale,規模、尺度、うろこ
range,範囲、～に及ぶ
scope,範囲、領域
amount,量、総計
quantity,量
quality,質、品質、特質
value,価値、～を重んじる
worth,価値、～の価値がある
standard,標準、基準
criterion,基準、尺度
priority,優先、優先事項
essential,不可欠な、本質的な
crucial,決定的な、極めて重要な
significant,重要な、かなりの
concept,概念
theory,理論
principle,原理、原則
logic,論理
evidence,証拠、根拠
proof,証明、証拠
argument,主張、議論、口論
debate,討論
